Total Population,Max Infected,Total Infected,Time to Peak,Percent max infected,Percent total infected,Total Discovered & Isolated,Percent Discovered & Isolated,Discovery Rate
400,134.6,333.6,6.941308721705874,33.65,83.4,0.0,0.0,0.0
400,161.2,390.09999999999997,7.293224717602766,40.3,97.52499999999999,22.200000000000003,5.550000000000001,0.01
400,162.89999999999998,387.9,7.097290761682074,40.724999999999994,96.975,30.999999999999993,7.749999999999998,0.02
400,166.6,387.6,6.963650568085669,41.65,96.9,38.6,9.65,0.03
400,160.70000000000002,383.9,6.944554688916552,40.175000000000004,95.975,47.09999999999999,11.774999999999997,0.04
400,155.2,381.70000000000005,6.907063860379946,38.8,95.42500000000001,56.4,14.1,0.05
400,158.70000000000002,383.40000000000003,7.83661552007858,39.675000000000004,95.85000000000001,64.89999999999999,16.224999999999998,0.060000000000000005
400,158.5,380.7,6.907801882187566,39.625,95.175,70.89999999999999,17.724999999999998,0.07
400,162.20000000000002,381.4000000000001,7.201493056511056,40.550000000000004,95.35000000000002,80.3,20.075,0.08
400,161.0,380.50000000000006,6.838111061382159,40.25,95.12500000000001,90.3,22.575,0.09
400,144.6,371.2,6.685512279815708,36.15,92.8,92.5,23.125,0.09999999999999999
400,154.5,371.8,6.956630663986604,38.625,92.95,101.19999999999999,25.299999999999997,0.10999999999999999
400,146.3,375.90000000000003,7.661871185046575,36.575,93.97500000000001,112.89999999999998,28.224999999999994,0.11999999999999998
400,146.1,363.29999999999995,6.794883144239796,36.525,90.82499999999999,112.7,28.175,0.12999999999999998
400,152.0,361.50000000000006,7.2559876900888165,38.0,90.37500000000001,122.9,30.725,0.13999999999999999
400,146.8,362.2,7.094688387067487,36.7,90.55,129.2,32.3,0.15
400,144.5,356.79999999999995,7.240150681938388,36.125,89.19999999999999,131.3,32.825,0.16
400,131.89999999999998,356.1,6.872517555195676,32.974999999999994,89.025,139.60000000000002,34.900000000000006,0.17
400,129.8,345.7,7.675020727643748,32.45,86.425,142.50000000000003,35.62500000000001,0.18000000000000002
400,140.1,348.0,6.144910350910324,35.025,87.0,152.59999999999997,38.14999999999999,0.19000000000000003
400,133.5,347.09999999999997,7.334177261733501,33.375,86.77499999999999,158.10000000000002,39.525000000000006,0.20000000000000004
400,130.4,345.1000000000001,6.682606662237581,32.6,86.27500000000002,162.4,40.6,0.21000000000000005
400,127.0,337.99999999999994,6.929001195210696,31.75,84.49999999999999,162.99999999999997,40.74999999999999,0.22000000000000006
400,123.7,330.2,7.282393389280716,30.925,82.55,169.0,42.25,0.23000000000000007
400,114.99999999999999,321.70000000000005,7.4572884553258385,28.749999999999996,80.42500000000001,166.7,41.675,0.24000000000000007
400,118.8,320.0,6.955980155664551,29.7,80.0,175.60000000000002,43.900000000000006,0.25000000000000006
400,117.7,311.90000000000003,6.471777253428634,29.425,77.97500000000001,172.0,43.0,0.26000000000000006
400,114.7,314.6,6.20101942926726,28.675,78.65,181.6,45.4,0.2700000000000001
400,116.10000000000002,310.9,6.204127319217411,29.025000000000006,77.725,184.40000000000003,46.10000000000001,0.2800000000000001
400,119.9,312.9,6.942722915562311,29.975,78.225,188.2,47.05,0.2900000000000001
400,96.6,288.09999999999997,6.798492279413531,24.15,72.02499999999999,182.70000000000002,45.675000000000004,0.3000000000000001
400,106.19999999999999,289.9,6.4564007671245855,26.549999999999997,72.475,184.79999999999998,46.199999999999996,0.3100000000000001
400,114.00000000000001,293.20000000000005,6.4882166873148615,28.500000000000004,73.30000000000001,194.5,48.625,0.3200000000000001
400,112.3,295.1,6.171809304378917,28.075,73.775,197.5,49.375,0.3300000000000001
400,116.0,296.5,6.43238389934641,29.0,74.125,208.2,52.05,0.34000000000000014
400,104.10000000000001,275.1,5.51753948755784,26.025000000000002,68.775,195.10000000000002,48.775000000000006,0.35000000000000014
400,94.9,251.20000000000002,5.328120594516032,23.725,62.800000000000004,185.8,46.45,0.36000000000000015
400,102.69999999999999,257.3,5.74188025797611,25.674999999999997,64.325,196.6,49.15,0.37000000000000016
400,95.5,252.9,6.095161679805241,23.875,63.225,197.5,49.375,0.38000000000000017
400,89.00000000000001,233.2,6.282841662431441,22.250000000000004,58.3,188.9,47.225,0.3900000000000002
400,98.6,259.4,6.553987525921147,24.65,64.85,210.20000000000002,52.550000000000004,0.4000000000000002
400,94.39999999999999,243.29999999999998,5.998484650299488,23.599999999999998,60.824999999999996,201.60000000000002,50.400000000000006,0.4100000000000002
400,104.00000000000001,251.00000000000003,5.056335391979495,26.000000000000004,62.75000000000001,216.0,54.0,0.4200000000000002
400,95.50000000000001,236.80000000000004,5.315697455174508,23.875000000000004,59.20000000000001,203.5,50.875,0.4300000000000002
400,94.5,231.6,5.651330893007429,23.625,57.9,210.0,52.5,0.4400000000000002
400,88.0,212.00000000000003,4.999371357463568,22.0,53.00000000000001,196.29999999999998,49.074999999999996,0.45000000000000023
400,96.10000000000001,218.80000000000004,5.7762063999534945,24.025000000000002,54.70000000000001,208.29999999999998,52.074999999999996,0.46000000000000024
400,82.2,210.0,5.559175569207257,20.55,52.5,200.3,50.075,0.47000000000000025
400,91.0,203.6,5.4260890892245435,22.75,50.9,204.3,51.075,0.48000000000000026
400,79.79999999999998,186.1,4.722071727010382,19.949999999999996,46.525,186.10000000000002,46.525000000000006,0.49000000000000027
400,81.9,179.9,4.90613439499582,20.475,44.975,188.3,47.075,0.5000000000000002
400,82.3,183.39999999999998,3.5074125791508637,20.575,45.849999999999994,195.19999999999996,48.79999999999999,0.5100000000000002
400,83.60000000000001,183.00000000000003,4.206281437695925,20.900000000000002,45.75000000000001,203.2,50.8,0.5200000000000002
400,78.7,180.9,4.270193807809035,19.675,45.225,195.3,48.825,0.5300000000000002
400,78.5,167.49999999999997,3.8355771609917975,19.625,41.87499999999999,190.4,47.6,0.5400000000000003
400,71.39999999999999,156.6,3.92599030291824,17.849999999999998,39.15,183.8,45.95,0.5500000000000003
400,72.7,161.20000000000002,4.034377367165704,18.175,40.300000000000004,191.59999999999997,47.89999999999999,0.5600000000000003
400,73.30000000000001,157.60000000000002,4.485473581205424,18.325000000000003,39.400000000000006,184.8,46.2,0.5700000000000003
400,72.6,147.20000000000002,3.719199099916776,18.15,36.800000000000004,171.99999999999997,42.99999999999999,0.5800000000000003
400,71.8,154.00000000000003,3.2041909444587127,17.95,38.50000000000001,183.70000000000002,45.925000000000004,0.5900000000000003
400,81.3,159.3,3.7332716302800204,20.325,39.825,199.0,49.75,0.6000000000000003
400,81.0,158.7,3.4322663090777157,20.25,39.675,199.29999999999998,49.824999999999996,0.6100000000000003
400,72.2,152.9,3.7246336319839655,18.05,38.225,195.70000000000002,48.925000000000004,0.6200000000000003
