Total Population,Max Infected,Total Infected,Time to Peak,Percent max infected,Percent total infected,Total Discovered & Isolated,Percent Discovered & Isolated,Discovery Rate
16000,3828.5499999999997,14666.400000000001,4.575057059301354,23.9284375,91.66500000000002,0.0,0.0,0.0
16000,3833.8999999999996,14662.450000000003,4.502259100522704,23.961875000000003,91.6403125,30.0,0.18749999999999994,0.02
16000,3828.8,14656.550000000003,4.566775113641745,23.93,91.6034375,60.0,0.3749999999999999,0.04
16000,3839.25,14660.350000000002,4.589255868443372,23.9953125,91.6271875,90.0,0.5625,0.06
16000,3846.050000000001,14670.900000000001,4.656734514451803,24.037812499999998,91.693125,120.0,0.7499999999999998,0.08
16000,3844.5499999999997,14653.450000000003,4.623626358700722,24.0284375,91.5840625,120.0,0.7499999999999998,0.1
16000,3842.85,14649.45,4.619398648846018,24.0178125,91.5590625,150.0,0.9375,0.12000000000000001
16000,3839.2000000000003,14637.15,4.643774313043512,23.994999999999997,91.4821875,180.0,1.125,0.14
16000,3860.5499999999997,14653.1,4.760557989899182,24.1284375,91.58187500000001,210.0,1.3125000000000004,0.16
16000,3859.0000000000005,14656.699999999999,4.784101445964548,24.118750000000006,91.60437500000002,240.0,1.4999999999999996,0.18
16000,3839.2000000000016,14633.550000000001,4.641217497243712,23.994999999999994,91.4596875,240.0,1.4999999999999996,0.19999999999999998
16000,3839.2999999999997,14621.199999999999,4.672888788431123,23.995625,91.38249999999998,270.0,1.6875000000000007,0.21999999999999997
16000,3855.3999999999996,14640.400000000001,4.748761000627155,24.096249999999998,91.50250000000001,300.0,1.875,0.23999999999999996
16000,3846.55,14632.849999999999,4.656535844189427,24.040937500000002,91.45531249999999,330.0,2.062499999999999,0.25999999999999995
16000,3876.95,14627.599999999999,4.800277706924361,24.230937500000003,91.4225,360.0,2.25,0.27999999999999997
16000,3841.4500000000003,14642.249999999998,4.833049006192562,24.009062500000002,91.51406250000001,360.0,2.25,0.3
16000,3869.3000000000006,14621.000000000002,4.811503611611262,24.183125000000004,91.38125000000001,390.0,2.4375,0.32
16000,3858.7999999999993,14622.8,4.853756496099962,24.1175,91.39250000000001,420.0,2.625000000000001,0.34
16000,3868.1000000000004,14625.9,4.923056757091008,24.175625,91.41187500000001,450.0,2.8125,0.36000000000000004
16000,3867.2999999999997,14619.75,4.879357823613691,24.170624999999998,91.3734375,480.0,2.999999999999999,0.38000000000000006
16000,3871.1,14636.95,4.71735611237932,24.194375,91.48093750000001,510.0,3.187499999999999,0.4000000000000001
16000,3889.250000000001,14638.8,4.987105990667173,24.307812500000004,91.49249999999999,510.0,3.187499999999999,0.4200000000000001
16000,3878.5999999999995,14615.050000000001,4.993753386571678,24.24125,91.34406249999999,540.0,3.3750000000000013,0.4400000000000001
16000,3881.4,14608.750000000002,5.085378440783538,24.258750000000006,91.30468749999999,570.0,3.5625000000000013,0.46000000000000013
16000,3882.399999999999,14616.000000000002,5.053333196935581,24.264999999999997,91.35,600.0,3.75,0.48000000000000015
16000,3895.2000000000007,14609.45,5.079028681401375,24.344999999999995,91.3090625,630.0,3.9374999999999987,0.5000000000000001
16000,3888.8999999999996,14608.499999999996,5.125860662297914,24.305625,91.303125,630.0,3.9374999999999987,0.5200000000000001
16000,3903.4,14610.499999999998,5.18273656874857,24.39625,91.31562500000001,660.0,4.124999999999998,0.5400000000000001
16000,3912.55,14620.75,5.132977874924499,24.453437500000003,91.3796875,690.0,4.312500000000002,0.5600000000000002
16000,3906.5499999999997,14623.0,5.18175600849208,24.415937500000002,91.39375000000001,720.0,4.5,0.5800000000000002
16000,3908.4500000000003,14606.249999999998,5.193792471064242,24.427812499999998,91.2890625,750.0,4.6875,0.6000000000000002
16000,3912.7499999999995,14617.749999999998,5.194149505529806,24.4546875,91.36093749999998,750.0,4.6875,0.6200000000000002
16000,3926.0000000000005,14614.6,5.143966240265391,24.5375,91.34125,780.0,4.875,0.6400000000000002
16000,3912.4000000000015,14589.699999999999,5.234152169192869,24.4525,91.18562499999999,810.0,5.062499999999998,0.6600000000000003
16000,3937.1,14599.1,5.197902703045018,24.606875000000002,91.244375,840.0,5.250000000000002,0.6800000000000003
16000,3954.4999999999995,14622.95,5.276039324675714,24.715625,91.39343749999999,870.0,5.437499999999999,0.7000000000000003
16000,3934.849999999999,14579.55,5.192995792582798,24.5928125,91.12218750000001,870.0,5.437499999999999,0.7200000000000003
16000,3938.2000000000003,14593.0,5.272150121363076,24.613749999999996,91.20625,900.0,5.625,0.7400000000000003
16000,3940.400000000001,14597.4,5.260352656348929,24.6275,91.23375,930.0,5.812500000000002,0.7600000000000003
16000,3959.5499999999997,14600.85,5.277647563596312,24.747187500000003,91.2553125,960.0,5.999999999999998,0.7800000000000004
16000,3974.6999999999994,14578.55,5.306307146788475,24.841875000000005,91.1159375,990.0,6.187500000000002,0.8000000000000004
16000,3944.4500000000003,14587.75,5.247026140746058,24.6528125,91.17343750000002,990.0,6.187500000000002,0.8200000000000004
16000,3988.55,14594.900000000001,5.315148310090726,24.928437500000005,91.21812500000001,1020.0,6.374999999999998,0.8400000000000004
16000,3990.3500000000004,14588.700000000003,5.321482803825801,24.939687499999998,91.17937500000001,1050.0,6.5625,0.8600000000000004
16000,3970.2999999999997,14571.000000000004,5.320202529685528,24.814375000000002,91.06875,1080.0,6.750000000000003,0.8800000000000004
16000,4007.0499999999997,14586.1,5.302577239373633,25.044062500000003,91.16312499999998,1110.0,6.937499999999997,0.9000000000000005
