Total Population,Max Infected,Total Infected,Time to Peak,Percent max infected,Percent total infected,Number of Groups
900,320.50000000000006,864.6999999999999,3.058697607000986,35.61111111111111,96.07777777777775,1
900,326.44999999999993,868.95,3.244110320029478,36.272222222222226,96.54999999999998,2
900,333.25000000000006,867.0500000000001,3.0886918320723153,37.02777777777778,96.3388888888889,3
900,319.19999999999993,866.8,3.1402231459077203,35.46666666666667,96.3111111111111,4
900,316.24999999999994,867.45,3.2232476235082266,35.13888888888888,96.38333333333333,5
900,316.84999999999997,865.9499999999999,3.108686905792604,35.205555555555556,96.21666666666665,6
900,328.89999999999986,869.0000000000001,3.1264869016759054,36.54444444444444,96.55555555555554,7
900,318.2999999999999,867.7499999999999,3.092262615633148,35.36666666666667,96.41666666666667,8
900,323.3,869.5999999999999,3.264670880087301,35.922222222222224,96.62222222222223,9
900,322.4,867.1,3.118417993207895,35.82222222222222,96.34444444444445,10
